name,lat,lng,region,country,source_url,maps_url
"Усть-Обор , Drohnen-Video vom Beginn des Unterlaufes des Chilok (",50.914593,108.415456,Nordseeküste,,https://wiki.faltboot.org/wiki/index.php?title=Chilok,"https://www.google.de/maps/place/Ust'-Obor,+Region+Transbaikalien,+Russland,+673016/@50.9145931,108.4154557,26930m/data=!3m1!1e3!4m5!3m4!1s0x5dba688d9da3941d:0x7a016c0cdb693d8f!8m2!3d50.9252061!4d108.5625396?shorturl=1"
"Сплав по реке Хилок, маршрут Катангар - Катаево (",51.055202,108.666495,Nordseeküste,,https://wiki.faltboot.org/wiki/index.php?title=Chilok,"https://www.google.de/maps/dir/%D0%9A%D0%B0%D1%82%D0%B0%D0%B5%D0%B2%D0%BE,+Region+Transbaikalien,+Russland/Katangar,+Region+Transbaikalien,+Russland,+673018/@51.055202,108.6664946,11z/am=t/data=!4m14!4m13!1m5!1m1!1s0x5dba6eb17529ba7b:0x304ef49ccf570742!2m2!1d108.66255!2d50.9421019!1m5!1m1!1s0x5dba0dc8ae91bfdf:0x703f2f9f3e49b60d!2m2!1d108.958316!2d51.0120033!3e0?shorturl=1"
"Überblickskarte des Nationalparks 'Yugyd va' , (veraltete?)",64.215937,59.117432,Nordseeküste,,https://wiki.faltboot.org/wiki/index.php?title=Schtschugor,"https://maps.google.de/maps?q=http://home.arcor.de/Livlandfahrer/yugyd-va.kmz&hl=de&ll=64.215937,59.117432&spn=3.978613,8.371582&sll=45.416768,8.945618&sspn=0.802027,1.046448&t=h&z=7"
"Berlin - Вуктыл , 3400 km in 47h. Dies ist die kürzeste Route, aber nur für völl",55.72711,38.012695,Nordseeküste,,https://wiki.faltboot.org/wiki/index.php?title=Schtschugor,"https://maps.google.com/maps?saddr=Berlin,+Germany&daddr=51.583206,33.5265772+to:58.8630669,49.4266708+to:59.5397291,49.3841867+to:61.2786721,50.5027456+to:%D0%A0%D0%BE%D1%81%D1%81%D0%B8%D1%8F,+%D0%9A%D0%BE%D0%BC%D0%B8+%D0%A0%D0%B5%D0%BF%D1%83%D0%B1%D0%BB%D0%B8%D1%86,+%D0%92%D1%83%D0%BA%D1%82%D1%8B%D0%BB&hl=en&ie=UTF8&ll=55.72711,38.012695&spn=24.872355,67.631836&sll=59.181557,44.912109&sspn=5.61521,16.907959&geocode=Fe39IAMdvE_NACnz8pxxK06oRzGG0VeMpY-6jQ;FeYYEwMdMZP_ASnpzc-Ezr0rQTEvy8Wue7R72Q;FdotggMd7jDyAikX9e3gy2n8QzG-nQwB7vzogg;FRGBjAMd-orxAimhH6ixTFH5QzFkQm8E6Bcwyg;FdAJpwMdWZwCAynbo2a2POj3QzFFeyceyGHDwQ;FRtgzgMdBHlqAymxRJ_ppRp2RDERvvFOYJxDtw&oq=Berlin&mra=dpe&mrsp=2&sz=7&via=1,2,3,4&t=m&z=5"
In Вуктыл gibt es ein Büro des Nationalparks НП «Югыд ва» in der ул. Комсомольск,63.847235,57.306655,Nordseeküste,,https://wiki.faltboot.org/wiki/index.php?title=Schtschugor,"https://maps.google.de/maps?q=63.847235,57.306655&hl=en&ll=63.847233,57.306651&spn=0.004857,0.016512&sll=51.175806,10.454119&sspn=14.163148,33.815918&t=h&z=17"
"54.5735,33.3057",54.573536,33.305788,Nordseeküste,,https://wiki.faltboot.org/wiki/index.php?title=Desna_Kilometrierung,"https://maps.google.com/maps?q=54.57353569532098,33.305788478457&t=h&z=13"
Vom Quellgebiet bis,51.035889,25.159378,Nordseeküste,,https://wiki.faltboot.org/wiki/index.php?title=Stochid,"http://maps.google.de/?ie=UTF8&z=13&ll=51.035889,25.159378&spn=0.097152,0.214577&t=h&om=1"
Von Linevka bis,51.246766,25.217228,Nordseeküste,,https://wiki.faltboot.org/wiki/index.php?title=Stochid,"http://maps.google.de/?ie=UTF8&t=h&om=1&z=13&ll=51.246766,25.217228&spn=0.096709,0.214577"
"Nachdem dann einmal ein schöner Landgang möglich war (Waypoints 038, 040)",51.808509,25.600376,Nordseeküste,,https://wiki.faltboot.org/wiki/index.php?title=Stochid,"http://maps.google.de/?ie=UTF8&t=h&om=1&z=12&ll=51.808509,25.600376&spn=0.191046,0.429153"
"Der Pripijat selber ist einfach befahrbar, es könnte höchstens an trockenen Biwa",51.876809,25.862675,Nordseeküste,,https://wiki.faltboot.org/wiki/index.php?title=Stochid,"http://maps.google.de/?ie=UTF8&t=h&om=1&z=14&ll=51.876809,25.862675&spn=0.047689,0.107288"
Satellitenbilder natürlich in jetzt relativ guter Auflösung bei,51.406916,25.31662,Nordseeküste,,https://wiki.faltboot.org/wiki/index.php?title=Stochid-Details,"http://maps.google.com/?ie=UTF8&z=11&ll=51.406916,25.31662&spn=0.376921,0.858307&t=k&om=1"
Der Fluß entspringt auf der Podolischen Platte in 320 müNN 3km WNW vom Dorf Chol,48.748266,29.173851,Nordseeküste,,https://wiki.faltboot.org/wiki/index.php?title=S%C3%BCdlicher_Bug,"http://maps.google.de/maps?f=q&source=s_q&hl=de&q=Ladyschyn,+Winnyzja,+Ukraine&sll=49.233333,28.483333&sspn=0.168361,0.308647&g=%D0%92%D1%96%D0%BD%D0%BD%D0%B8%D1%86%D1%8F&ie=UTF8&cd=1&geocode=FY6u5gIdyIm-AQ&split=0&hq=&hnear=Ladyschyn,+Winnyzja,+Ukraine&ll=48.748266,29.173851&spn=0.170008,0.308647&t=h&z=12"
Luftwaffe-Sperrgebiet,51.7732,27.4606,Nordseeküste,,https://wiki.faltboot.org/wiki/index.php?title=Stwiga,https://www.openstreetmap.org/#map=13/51.7732/27.4606
"An der Brücke bei Азярани (Озераны, Straße Р128, Google-Map ) lässt sich die Fah",52.050427,29.212708,Nordseeküste,,https://wiki.faltboot.org/wiki/index.php?title=Stwiga,"https://www.google.de/maps/dir/Dzerzhinsk,+Belarus/Avtovokzal+Mazyr,+Ulitsa+Shosseynaya,+Mazyr+247760,+Belarus/@52.0504269,29.2127082,8167m/am=t/data=!3m1!1e3!4m15!4m14!1m5!1m1!1s0x472844d7172be337:0x3e8b21adc380e1a4!2m2!1d27.5500008!2d51.6722458!1m5!1m1!1s0x46d6117dc49a3a77:0x142682e469bfe5f4!2m2!1d29.2252771!2d52.045513!3e0!5i1?shorturl=1"
Straße Libreville - Makokou 549km (,0.152315,10.010916,Nordseeküste,,https://wiki.faltboot.org/wiki/index.php?title=Bouniandje_-_Mounianze,"https://www.google.de/maps/dir/Flughafen+Libreville+Leon+M'ba,+Libreville,+Gabun/Makokou,+Gabun/@0.1523152,10.0109158,346941m/am=t/data=!3m1!1e3!4m14!4m13!1m5!1m1!1s0x107f24d8ae87dc81:0x292fc41457828f43!2m2!1d9.4111563!2d0.4576497!1m5!1m1!1s0x1082fe4667696681:0x45fcd99eb4d48dd3!2m2!1d12.857236!2d0.5633173!3e0?shorturl=1"
anschließend 161km unbefestigte Straße nach SO zum vill. Tébé an der Einsatzstel,0.213295,12.78927,Nordseeküste,,https://wiki.faltboot.org/wiki/index.php?title=Bouniandje_-_Mounianze,"https://www.google.de/maps/dir/0.565139,12.849327/-0.0126359,13.6617972/@0.2132953,12.7892703,173470m/am=t/data=!3m1!1e3!4m2!4m1!3e0?shorturl=1"
Finish in,0.557611,12.831931,Nordseeküste,,https://wiki.faltboot.org/wiki/index.php?title=Bouniandje_-_Mounianze,"https://www.google.de/maps/place/0%C2%B000'42.0%22S+13%C2%B039'40.8%22E/@0.5576111,12.831931,11682m/data=!3m1!1e3!4m6!3m5!1s0x0:0x0!7e2!8m2!3d-0.0116533!4d13.6613336?shorturl=1"
